,id,State,Jurisdiction,AbbreviatedDistrict,ZoneAcres,FedStateAcres,MunicipalAcres,State_from_zoning,Jurisdiction_from_zoning,County,Abbreviated District Name,Full District Name,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Affordable Housing District,Elderly Housing District,1-Family Treatment,2-Family Treatment,3-Family Treatment,4+-Family Treatment,1-Family Min. Lot (ACRES),1-Family Front Setback (# of feet),1-Family Side Setback (# of feet),1-Family Rear Setback (# of feet),1-Family Max. Lot Coverage - Buildings (%),1-Family Max. Lot Coverage - Buildings & Impervious Surface (%),1-Family Min. # Parking Spaces,1-Family Max. Height (# of stories),1-Family Max. Height (# of feet),1-Family Floor to Area Ratio,1-Family Min. Unit Size (SF),2-Family Affordable Housing Only,2-Family Elderly Housing Only,2-Family Min. Lot (ACRES),2-Family Max. Density (UNITS/ACRE),2-Family Front Setback (# of feet),2-Family Side Setback (# of feet),2-Family Rear Setback (# of feet),2-Family Max. Lot Coverage - Buildings (%),2-Family Max. Lot Coverage - Buildings & Impervious Surface (%),2-Family Min. # Parking Spaces Per Studio or 1BR,2-Family Min. # Parking Spaces Per 2+ BR,2-Family Max. Height (# of stories),2-Family Max. Height (# of feet),2-Family Floor to Area Ratio,2-Family Min. Unit Size (SF),3-Family Affordable Housing Only,3-Family Elderly Housing Only,3-Family Min. Lot (ACRES),3-Family Max. Density (UNITS/ACRE),3-Family Front Setback (# of feet),3-Family Side Setback (# of feet),3-Family Rear Setback (# of feet),3-Family Max. Lot Coverage - Buildings (%),3-Family Max. Lot Coverage - Buildings & Impervious Surface (%),3-Family Min. # Parking Spaces Per Studio or 1BR,3-Family Min. # Parking Spaces Per 2+ BR,3-Family Connection to Sewer and/or Water Required,3-Family Connection or Proximity to Public Transit Required,3-Family Max. Height (# of stories),3-Family Max. Height (# of feet),3-Family Floor to Area Ratio,3-Family Min. Unit Size (SF),3-Family Max. # Bedrooms Per Unit,4+-Family Affordable Housing Only,4+-Family Elderly Housing Only,4+-Family Min. Lot (ACRES),4+-Family Max. Density (UNITS/ACRE),4+-Family Front Setback (# of feet),4+-Family Side Setback (# of feet),4+-Family Rear Setback (# of feet),4+-Family Max. Lot Coverage - Buildings (%),4+-Family Max. Lot Coverage - Buildings & Impervious Surface (%),4+-Family Min. # Parking Spaces Per Studio or 1BR,4+-Family Min. # Parking Spaces Per 2+ BR,4+-Family Connection to Sewer and/or Water Required,4+-Family Connection or Proximity to Public Transit Required,4+-Family Max. Height (# of stories),4+-Family Max. Height (# of feet),4+-Family Floor to Area Ratio,4+-Family Min. Unit Size (SF),4+-Family Max. # Bedrooms Per Unit,4+-Family Max. # Units Per Building,Affordable Housing (AH) Treatment,AH - Definition,AH - Elderly Housing Only,AH Min. Lot (ACRES),AH Max. Density (UNITS/ACRE),AH Min. # Parking Spaces Per Studio or 1BR,AH Min. # Parking Spaces Per 2+ BR,AH Connection to Sewer and/or Water Required,AH Connection or Proximity to Public Transit Required,AH Min. Unit Size (SF),AH Max. # Bedrooms Per Unit,AH Max. # Units Per  Building,Accessory Dwelling Unit (ADU) Treatment,ADU Employee or Family Occupancy Required,ADU Renter Occupancy Prohibited,ADU Owner Occupancy Required,ADU Elderly Housing Only,ADU Min. Lot (acres),ADU Min. # Parking Spaces (Additional to Main Unit),"ADU Restricted to Only Primary Structure (i.e., No Outbuildings like Garages)",ADU Max. Size (% of Main Unit),ADU Max. Size (SF),ADU Max. # Bedrooms Per Unit,Planned Residential Development (PRD) Treatment,Mobile or Manufactured Home Park (Y/N),PRD Min. Lot (Acres),PRD Max. Density (Units/Acre),PRD Max. # Units Per Development,Special Notes,Tooltip Notes,AduMaxSizeLimit,1MUS,2MUS,3MUS,4MUS,MUS,1MLS,2MLS,3MLS,4MLS,1E,2E,3E,4E,AEld,PK
155,HI--HAWAII--PD,HI,Hawaii,PD,2679.3679086223387,208.09004720248754,2471.2778614198514,HI,Hawaii,Hawaii,PD,Project District,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,NONE,,,,,NONE,2,NONE,NONE,NONE,NONE,No,No,,,,,,,,4,4,,,,NONE,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,NONE,NONE,No,NONE,NONE,NONE,Allowed/Conditional,No,,,NONE,,,True,True,True,False,False,True,A,A,A,A,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br)
156,HI--HAWAII--RA.5A,HI,Hawaii,RA-.5a,1206.790368040281,46.057308535102564,1160.7330595051785,HI,Hawaii,Hawaii,RA-.5a,Residential & Agricultural - Minimum 0.5 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.5,25,15,25,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,,,,,,,,,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,0.5,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,C,A,A,A,No,No,No,No,No,2 for 1-family
157,HI--HAWAII--RA1.5A,HI,Hawaii,RA-1.5a,3.0614179322943444,2.739073963338308e-07,3.061417658386948,HI,Hawaii,Hawaii,RA-1.5a,Residential & Agricultural - Minimum 1.5 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.5,25,15,25,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,,,,,,,,,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,1.5,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,D,A,A,A,No,No,No,No,No,2 for 1-family
158,HI--HAWAII--RA1A,HI,Hawaii,RA-1a,1821.3209453090426,5.5734213852356715,1815.747523923807,HI,Hawaii,Hawaii,RA-1a,Residential & Agricultural - Minimum 1 acre,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,25,15,25,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,,,,,,,,,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,1,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,D,A,A,A,No,No,No,No,No,2 for 1-family
159,HI--HAWAII--RA2A,HI,Hawaii,RA-2a,304.66511233098873,0.0040588941198793005,304.6610534368688,HI,Hawaii,Hawaii,RA-2a,Residential & Agricultural - Minimum 2 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,2,25,15,25,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,,,,,,,,,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,2,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
160,HI--HAWAII--RA3A,HI,Hawaii,RA-3a,9.611593938156513,4.2560195478382184e-07,9.611593512554558,HI,Hawaii,Hawaii,RA-3a,Residential & Agricultural - Minimum 3 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,3,25,15,25,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,3,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
161,HI--HAWAII--RA5A,HI,Hawaii,RA-5a,43.65999975512422,0.0,43.65999975512422,HI,Hawaii,Hawaii,RA-5a,Residential & Agricultural - Minimum 5 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,5,25,15,25,NONe,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,5,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
162,HI--HAWAII--RCX10,HI,Hawaii,RCX-10,0.5270943338334819,0.012073095222289157,0.5150212386111928,HI,Hawaii,Hawaii,RCX-10,"Residential-Commercial Mixed Use Districts - 10,000 square feet",Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,20,8,20,NONE,NONE,2,NONE,45,NONE,NONE,No,No,0.46,4,20,8,20,NONE,NONE,4,4,NONE,45,NONE,NONE,No,No,0.23,4,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.23,4,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.23,4.0,NONE,,,False,True,True,True,True,True,B,B,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
163,HI--HAWAII--RCX2,HI,Hawaii,RCX-2,22.796931707457883,0.0,22.796931707457883,HI,Hawaii,Hawaii,RCX-2,"Residential-Commercial Mixed Use Districts - 2,000 square feeet",Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,20,8,20,NONE,NONE,2,NONE,45,NONE,NONE,No,No,0.17,12,20,8,20,NONE,NONE,4,4,NONE,45,NONE,NONE,No,No,0.17,22,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.17,22,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.17,22.0,NONE,,,False,True,True,True,True,True,B,B,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
164,HI--HAWAII--RCX20,HI,Hawaii,RCX-20,1.466588708138504,0.0,1.466588708138504,HI,Hawaii,Hawaii,RCX-20,"Residential-Commercial Mixed Use Districts - 20,000 square feet",Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.46,20,8,20,NONE,NONE,2,NONE,45,NONE,NONE,No,No,0.92,2,20,8,20,NONE,NONE,4,4,NONE,45,NONE,NONE,No,No,0.46,2,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.46,2,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.46,2.0,NONE,,,False,True,True,True,True,True,B,D,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
165,HI--HAWAII--RD3.75,HI,Hawaii,RD-3.75,143.30314164060238,50.79037997316456,92.51276166743781,HI,Hawaii,Hawaii,RD-3.75,Double-Family Residential Districts,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.17,15,8,15,NONE,NONE,2,NONE,35,NONE,NONE,No,No,0.17,12,15,8,15,NONE,NONE,4,4,NONE,35,NONE,NONE,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.17,12.0,NONE,,,False,True,True,False,False,True,B,B,A,A,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br)
166,HI--HAWAII--RM.75,HI,Hawaii,RM-.75,18.144071477587545,0.0,18.144071477587545,HI,Hawaii,Hawaii,RM-.75,Multiple-Family Residential - 750 square feet,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,20,8,20,NONE,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,12,20,8,20,NONE,NONE,4,4,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,58,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.17,58,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.17,60.0,NONE,,,False,True,True,True,True,True,B,B,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
167,HI--HAWAII--RM1,HI,Hawaii,RM-1,163.5622606342253,26.14672783025979,137.41553280396553,HI,Hawaii,Hawaii,RM-1,"Multiple-Family Residential - 1,000 square feet",Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,20,8,20,NONE,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,12,20,8,20,NONE,NONE,4,4,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,44,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.17,44,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.17,45.0,NONE,,,False,True,True,True,True,True,B,B,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
168,HI--HAWAII--RM1.25,HI,Hawaii,RM-1.25,9.649671123072691,0.0,9.649671123072691,HI,Hawaii,Hawaii,RM-1.25,"Multiple-Family Residential - 1,250 square feet",Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,20,8,20,NONE,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,12,20,8,20,NONE,NONE,4,4,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,35,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.17,35,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.17,36.0,NONE,,,False,True,True,True,True,True,B,B,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
169,HI--HAWAII--RM1.5,HI,Hawaii,RM-1.5,287.75567251723976,26.677230999911725,261.07844151732803,HI,Hawaii,Hawaii,RM-1.5,"Multiple-Family Residential - 1,500 square feet",Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,20,8,20,NONE,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,12,20,8,20,NONE,NONE,4,4,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,29,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.17,29,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.17,30.0,NONE,,,False,True,True,True,True,True,B,B,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
170,HI--HAWAII--RM10,HI,Hawaii,RM-10,36.57226671676893,0.0,36.57226671676893,HI,Hawaii,Hawaii,RM-10,"Multiple-Family Residential - 10,000 square feet",Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,20,8,20,NONE,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.46,8,20,8,20,NONE,NONE,4,4,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.23,4,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.23,4,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.23,4.0,NONE,,,False,True,True,True,True,True,B,B,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
171,HI--HAWAII--RM14.5,HI,Hawaii,RM-14.5,187.29391894214427,0.0,187.29391894214427,HI,Hawaii,Hawaii,RM-14.5,"Multiple-Family Residential - 14,500 square feet",Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.33,20,8,20,NONE,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.66,6,20,8,20,NONE,NONE,4,4,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.33,3,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.33,3,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.33,3.0,NONE,,,False,True,True,True,True,True,B,C,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
172,HI--HAWAII--RM15,HI,Hawaii,RM-15,24.78758514585305,0.0,24.78758514585305,HI,Hawaii,Hawaii,RM-15,"Multiple-Family Residential - 15,000 square feet",Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.34,20,8,20,NONE,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.72,6,20,8,20,NONE,NONE,4,4,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.34,3,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.34,3,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.34,3.0,NONE,,,False,True,True,True,True,True,B,C,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
173,HI--HAWAII--RM2,HI,Hawaii,RM-2,189.02045589356484,4.030297818328177,184.99015807523668,HI,Hawaii,Hawaii,RM-2,"Multiple-Family Residential - 2,000 square feet",Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,20,8,20,NONE,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,12,20,8,20,NONE,NONE,4,4,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,22,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.17,22,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.17,22.0,NONE,,,False,True,True,True,True,True,B,B,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
174,HI--HAWAII--RM2.5,HI,Hawaii,RM-2.5,79.49615005312145,0.691178536875829,78.80497151624563,HI,Hawaii,Hawaii,RM-2.5,"Multiple-Family Residential - 2,500 square feet",Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,20,8,20,NONE,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,12,20,8,20,NONE,NONE,4,4,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,17,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.17,17,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.17,17.0,NONE,,,False,True,True,True,True,True,B,B,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
175,HI--HAWAII--RM20,HI,Hawaii,RM-20,76.92132288357729,0.0,76.92132288357729,HI,Hawaii,Hawaii,RM-20,"Multiple-Family Residential - 20,000 square feet",Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.46,20,8,20,NONE,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.92,2,20,8,20,NONE,NONE,4,4,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.46,2,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.46,2,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.46,2.0,NONE,,,False,True,True,True,True,True,B,D,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
176,HI--HAWAII--RM3,HI,Hawaii,RM-3,519.2741766857763,12.556429807627175,506.7177468781491,HI,Hawaii,Hawaii,RM-3,"Multiple-Family Residential - 3,000 square feet",Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,20,8,20,NONE,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,12,20,8,20,NONE,NONE,4,4,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,15,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.17,15,20,8,20,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.17,14.5,NONE,,,False,True,True,True,True,True,B,B,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
